name,gpio,connector,position
IO4,4,left,4
IO5,5,left,5
IO6,6,left,6
IO7,7,left,7
IO15,15,left,8
IO16,16,left,9
IO17,17,left,10
IO18,18,left,11
IO8,8,left,12
IO3,3,left,13
IO46,46,left,14
IO9,9,left,15
IO10,10,left,16
IO11,11,left,17
IO12,12,left,18
IO13,13,left,19
IO14,14,left,20
TX,43,right,2
RX,44,right,3
IO1,1,right,4
IO2,2,right,5
IO42,42,right,6
IO41,41,right,7
IO40,40,right,8
IO39,39,right,9
IO38,38,right,10
IO37,37,right,11
IO36,36,right,12
IO35,35,right,13
BOOT,0,right,14
IO45,45,right,15
IO48,48,right,16
RGB_LED,47,right,17
IO21,21,right,18
USB_DP,20,right,19
USB_DM,19,right,20
