name,gpio,connector,position
G0,0,stamp_pad,G0
G1,1,stamp_pad,G1
G2,2,stamp_pad,G2
G3,3,stamp_pad,G3
G4,4,stamp_pad,G4
G5,5,stamp_pad,G5
G6,6,stamp_pad,G6
G7,7,stamp_pad,G7
G8,8,stamp_pad,G8
G9,9,stamp_pad,G9
G10,10,stamp_pad,G10
G11,11,stamp_pad,G11
G12,12,stamp_pad,G12
G13,13,stamp_pad,G13
G14,14,stamp_pad,G14
G15,15,stamp_pad,G15
G16,16,stamp_pad,G16
G17,17,stamp_pad,G17
G18,18,stamp_pad,G18
G19,19,stamp_pad,G19
G20,20,stamp_pad,G20
G21,21,stamp_pad,G21
G22,22,stamp_pad,G22
G23,23,stamp_pad,G23
G24,24,stamp_pad,G24
G25,25,stamp_pad,G25
G26,26,stamp_pad,G26
G27,27,stamp_pad,G27
G28,28,stamp_pad,G28
G29,29,stamp_pad,G29
G30,30,stamp_pad,G30
G31,31,stamp_pad,G31
G32,32,stamp_pad,G32
G33,33,stamp_pad,G33
G34,34,stamp_pad,G34
G35,35,stamp_pad,G35
G36,36,stamp_pad,G36
G37,37,stamp_pad,G37
G38,38,stamp_pad,G38
G39,39,stamp_pad,G39
G41,41,stamp_pad,G41
G49,49,stamp_pad,G49
G50,50,stamp_pad,G50
G52,52,stamp_pad,G52
